timestamp,,e_point,n_point,e_cur,n_cur,Cur_head,Head_ref,,Head_command,
1.65661E+12,30037.98999,0,0,1.731,1.216,40.45729065,0.052359878,3,-0.163438263,-4.682161331
1.65661E+12,30139.6499,0,0,1.73,1.217,39.47529984,0.052359878,3,-0.159153519,-4.559412479
1.65661E+12,30243.43994,0,0,1.73,1.217,39.06612015,0.052359878,3,-0.157368136,-4.508265018
1.65661E+12,30352.53003,0,0,1.73,1.219,38.37243652,0.052359878,3,-0.15434137,-4.421554565
1.65661E+12,30454.17993,0,0,1.729,1.221,36.72696304,0.052359878,3,-0.147161638,-4.21587038
1.65661E+12,30555.31982,0,0,1.729,1.221,36.04878998,0.052359878,3,-0.14420255,-4.131098747
1.65661E+12,30659.47998,0,0,1.729,1.222,35.00565338,0.052359878,3,-0.139651008,-4.000706673
1.65661E+12,30762.32983,0,0,1.727,1.223,33.85391998,0.052359878,3,-0.134625623,-3.856739998
1.65661E+12,30863.67993,0,0,1.727,1.223,32.38574219,0.052359878,3,-0.128219489,-3.673217773
1.65661E+12,30965.8999,0,0,1.726,1.223,31.63389015,0.052359878,3,-0.124938915,-3.579236269
1.65661E+12,31070.21997,0,0,1.725,1.223,30.28778458,0.052359878,3,-0.119065422,-3.410973072
1.65661E+12,31172.33984,0,0,1.725,1.223,29.2671814,0.052359878,3,-0.1146122,-3.283397675
1.65661E+12,31273.71997,0,0,1.724,1.223,29.11391258,0.052359878,3,-0.113943439,-3.264239073
